	FP_1	FP_2	FP_3	FP_4	FP_5	FP_6	FP_7	FP_8	FP_9	FP_10	FP_11	FP_12	FP_13	FP_14	FP_15	FP_16	FP_17	FP_18	FP_19	FP_20	FP_21	FP_22	FP_23	FP_24	FP_25	FP_27	FP_28	FP_29	FP_30	FP_31	FP_32	FP_33	FP_34	FP_35	FP_36	FP_37	FP_38	FP_39	FP_40	FP_41	FP_42	FP_43	FP_44	FP_45	FP_47	FP_48	FP_49
ASV1	0	0	1739	1489	2116	3841	1260	3332	3063	0	1081	0	1043	677	7341	0	1057	677	1290	582	0	1518	0	2097	0	0	2053	1665	1147	1023	7577	67	3115	0	0	0	4740	252	9465	4850	0	997	0	1935	3500	0	1504
ASV2	13863	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3	0	0	695	1767	703	2433	4008	1823	1059	0	158	0	3156	0	0	1042	0	4469	2682	606	0	1028	0	364	0	469	0	93	824	3872	734	0	0	413	207	1840	0	5886	628	8523	0	1134	0	0	881	0	1429
ASV4	0	0	707	1600	1211	813	1693	864	891	0	1328	0	808	0	0	454	3462	470	97	437	0	3232	0	1178	30	0	1248	2049	4128	715	1313	0	0	0	124	0	136	7865	0	0	0	866	1724	3250	3465	2572	6292
ASV5	465	350	1138	86	0	41	0	541	135	0	0	0	1176	0	853	1883	0	0	354	7270	0	501	626	0	0	561	13	103	0	127	26	12819	930	1092	458	191	1799	256	1876	1528	744	505	0	0	0	0	0
ASV6	7	0	1157	0	2515	370	0	1479	0	0	1173	0	0	0	0	0	2929	4289	0	2379	0	321	0	957	23	2583	1825	2802	0	2483	4801	0	420	758	372	0	0	0	0	0	0	116	727	0	1565	787	0
ASV7	0	195	0	0	44	47	0	86	70	3387	132	1618	4955	39	232	0	169	0	953	0	1272	0	821	130	0	89	0	0	0	243	196	359	5441	0	0	0	0	0	2123	0	117	516	898	8543	1318	13124	570
ASV8	0	0	1871	544	4376	2485	0	885	1829	0	748	0	59	0	0	508	0	204	0	633	0	2714	0	2638	0	109	1140	398	685	4345	0	0	0	0	0	230	90	532	0	0	0	223	1396	2692	0	254	1623
ASV9	0	0	743	1228	2241	343	159	835	2254	0	1637	0	1069	362	0	269	1153	4577	143	184	0	633	0	1193	0	318	615	1537	1209	3722	389	0	0	292	794	0	84	0	0	378	98	576	0	1026	1418	0	970
ASV10	8881	0	0	0	0	0	0	0	17	0	0	0	0	684	473	0	0	0	0	0	0	0	236	0	0	0	0	14	396	0	0	423	0	0	44	11081	0	0	0	0	0	0	0	0	0	0	0
ASV11	0	0	227	434	1079	1311	979	1070	2391	0	871	0	993	142	0	702	0	0	1007	76	0	634	0	853	0	1075	392	525	5073	1482	2112	0	45	24	39	0	0	1893	0	0	0	213	0	0	2101	0	1992
ASV12	0	0	89	467	840	1388	1368	73	49	0	62	0	0	0	0	1056	590	0	1955	0	0	573	0	403	0	1931	408	438	3276	587	1296	0	0	807	0	2081	1666	0	0	275	0	365	0	1026	636	0	1451
ASV13	0	7909	0	0	0	0	0	0	0	0	0	3245	0	0	0	0	0	2359	0	0	0	0	0	0	0	0	0	0	0	0	1388	0	0	671	0	0	0	0	0	0	0	0	0	0	0	4671	0
ASV14	0	0	85	141	360	0	379	623	2096	0	1461	0	205	95	978	257	0	6495	596	14	0	0	0	353	0	815	107	0	598	0	933	0	2802	401	126	0	178	0	0	0	52	2086	0	0	991	0	1904
ASV15	0	0	0	141	770	1306	0	2307	1749	0	2799	0	0	0	0	0	0	0	1641	0	0	0	0	540	0	144	916	2076	1211	2307	0	0	0	64	224	0	1278	702	201	0	0	0	1409	1776	661	485	0
ASV16	0	0	561	2280	580	723	942	1365	413	0	725	0	40	0	0	379	0	0	2013	349	0	880	0	327	0	191	313	637	163	945	2349	0	0	30	335	0	1551	1917	0	0	0	0	471	3002	551	0	1153
ASV17	0	0	974	1309	0	0	0	0	0	0	10	0	0	0	0	52	0	0	0	5843	0	3734	0	379	0	0	7022	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV18	0	0	165	79	569	533	0	1212	138	0	354	0	155	2357	0	184	391	1372	0	112	0	244	0	1714	0	3465	165	316	2812	0	116	0	0	74	90	0	0	805	0	0	5	413	0	0	7006	0	766
ASV19	0	0	1176	0	806	308	368	267	309	0	2522	0	140	385	0	420	1050	1143	388	116	0	1432	0	866	15	654	928	713	553	0	601	0	203	0	278	0	405	0	0	0	448	178	0	0	0	0	525
ASV20	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	19	0	0	0	13	15978	0	0	0	0	0	0	102	0	0	913	0	0	0	0	0	0	0	243	0	0	0	0	0	0
ASV21	0	0	554	0	0	0	0	0	0	0	48	0	0	0	0	86	0	0	197	242	0	33	0	152	6	1841	131	1487	128	0	0	4723	0	1175	848	0	0	0	0	0	0	0	0	0	0	19199	0
ASV22	0	0	302	328	449	734	453	447	296	0	203	0	861	1599	1316	226	3222	1245	0	111	0	228	0	217	0	276	108	397	627	265	257	0	0	0	0	0	193	220	2086	0	110	376	0	0	682	0	0
ASV23	0	0	382	689	643	485	0	1402	130	0	1114	0	0	256	840	925	376	2941	0	53	0	836	0	128	0	65	131	420	610	79	1098	295	94	0	87	0	81	1577	0	0	0	1531	0	1377	1411	736	0
ASV24	0	0	0	719	0	0	283	4144	0	0	0	0	0	0	0	3573	0	0	0	1117	0	0	0	0	18	3370	0	1350	22	0	173	0	0	275	0	292	0	0	0	0	0	0	0	0	0	0	0
ASV25	0	0	0	0	0	0	0	0	0	0	0	0	1651	7308	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296	0	0	19	0	0	0	0	2722	0	0	0	0	0	0
ASV26	0	0	0	38	0	0	0	179	0	49	30	9074	195	22	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0
ASV27	0	0	0	0	0	0	0	0	0	56	19	9665	0	65	0	0	41	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	50	0	0	924	0	168	0	0	0	0	0
ASV28	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	2768	1504	0	0	0	326	0	230	0	0	0	0	0	0	0	0	0	1822	0	0	0	646	0	0	4395	0	0	0	0	0	0
ASV29	0	0	359	1176	940	587	0	669	947	0	1211	0	0	1068	0	360	0	932	0	0	0	759	0	621	0	0	287	0	481	0	0	0	0	0	0	0	0	0	0	0	497	374	765	1149	0	0	0
ASV30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4572	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	1331	2874	0	0	0	0	0	0	0	0	0	0	0	0
ASV31	0	0	0	0	0	0	0	0	0	0	0	874	57	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7201	0	0	239	0	0	156	0	608	0	0	0	0	0
ASV32	0	0	1672	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	17	2613	0	1250	0	0	0	0	0	0	2633	0	0	0	0	0	0	0	0	0	0	0	0
ASV33	0	0	214	304	0	0	255	294	217	0	260	0	0	517	0	222	1232	459	71	0	0	302	0	349	0	0	552	286	414	838	1091	0	0	0	281	0	0	0	0	0	0	119	0	0	572	0	0
ASV34	0	0	0	84	0	0	0	327	0	0	0	0	0	0	0	408	332	0	0	0	0	47	0	0	0	192	0	37	0	0	278	0	0	329	54	0	914	161	0	0	0	496	0	0	0	0	0
ASV35	0	0	0	97	485	0	74	0	105	0	91	0	1251	361	0	500	0	1089	0	283	0	127	0	216	22	578	0	1290	335	110	86	389	0	0	0	0	0	0	0	0	154	403	4271	202	0	196	1569
ASV36	0	0	228	0	0	0	0	0	0	0	0	0	0	116	0	324	247	0	427	0	0	519	0	925	0	0	0	756	1590	2131	1053	0	0	0	0	0	0	0	0	0	0	1136	0	0	0	0	1753
ASV37	0	0	0	115	0	165	83	310	382	0	0	0	0	345	93	0	880	752	265	29	0	205	0	135	0	894	0	106	0	0	125	0	0	385	0	0	0	0	1573	0	0	271	0	0	0	0	598
ASV38	0	0	0	0	0	19	0	116	0	0	0	0	40	0	3285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	342	0	0	0	0	2979	244	83	0	563	0	250	0	0	680	0	0
ASV39	0	0	0	0	0	198	0	525	0	0	0	0	418	0	0	4346	0	74	0	145	0	0	0	0	0	1728	0	0	354	116	87	0	0	1801	0	0	0	0	32	445	0	0	0	0	0	0	0
ASV40	0	0	0	583	0	121	1708	201	424	0	0	0	1059	80	0	423	165	2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	523	1351	0	734	0	0	0	0	0	0
ASV41	0	0	0	0	417	55	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14852	0	0	0	2203
ASV42	0	0	0	75	0	357	156	0	111	0	0	0	2894	0	0	0	239	388	184	0	0	0	0	0	0	0	0	0	63	214	143	0	0	0	0	0	1480	102	0	2041	0	139	0	0	0	0	0
ASV43	0	0	0	425	0	324	745	0	84	0	140	0	0	0	65	1231	0	0	282	0	0	1425	0	611	0	0	750	76	818	118	186	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	504
ASV44	0	0	0	0	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887	0	836	0	0	0	0	3740	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	74	6917	0	0	0	0	0	145	0	0	0	0	0	0	0	0
