OTU	1at14w	1at10w	1at3w	1at5w	2at10w	2at14w	2at3w	2at5w	3at5w	3at10w	3at14w	3at3w	4at5w	4at10w	4at14w	4at3w	5at10w	5at14w	5at3w	5at5w	10at3w	10at14w	10at5w	11at10w	11at14w	11at3w	11at5w	12at3w	12at10w	12at14w	12at5w	13at5w	13at10w	13at14w	13at3w	14at10w	14at14w	14at3w	14at5w	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1	2312	3143	4426	1358	3678	2109	4065	8412	5543	1195	2093	5304	1524	5060	18969	369	685	1473	355	593	6220	29978	1094	12435	22347	7246	19550	724	7809	9186	27225	2145	6043	31533	9151	3706	7135	18287	2437	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
seq5	3071	600	4024	281	1364	1807	3084	630	164	1682	2378	67	535	1141	1958	783	857	578	566	1605	5580	3855	8996	1130	233	8731	230	22	16784	8637	1106	1737	7240	5742	300	7866	12323	1954	4729	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	intestinalis
seq7	1882	595	1444	871	1708	1782	1491	779	1597	1494	591	95	1041	1092	2905	506	1771	801	223	1089	2411	4166	6593	4511	4216	6413	538	39	14694	5371	1087	526	2555	7150	176	3478	10298	1207	4095	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
seq2	1664	1694	3566	2499	1759	1577	1776	899	538	1197	691	3948	2676	2565	2184	2184	356	1384	81	1238	891	91	227	1884	3062	3031	4885	6902	0	3503	2637	2503	3383	1218	2792	4751	4914	3672	1994	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens
seq3	157	795	3046	1723	1473	3746	1445	783	328	347	717	528	2883	6014	1183	2935	7163	2859	2433	2218	2486	0	1266	351	1203	3068	1824	3762	42	2397	2771	4998	2241	3597	1497	644	2496	722	2921	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	typhlonius
seq4	3028	728	1338	653	2061	2097	1930	1194	565	2145	1955	487	1326	1990	6044	360	2147	861	17	2967	1528	6639	7454	3143	10875	5057	537	0	0	23	0	0	0	0	19	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
seq6	19126	2435	2957	1365	3714	2289	1150	1100	1379	1507	0	271	1306	1470	2106	0	1637	1953	147	19044	0	0	215	53	192	0	120	52	0	0	0	0	382	0	123	122	395	461	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq8	0	6886	4488	8482	4357	1801	1790	7355	1950	122	0	82	8642	1805	1118	5885	0	0	11	171	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	bacterium
seq13	908	174	3665	1481	498	1333	3397	1300	3023	749	700	2197	380	390	1600	503	360	452	443	663	50	63	0	63	368	264	196	441	0	1288	337	1394	2818	1135	1648	3195	3004	635	982	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq20	311	466	714	186	553	234	640	1335	824	139	299	812	209	799	2199	0	0	0	0	0	949	3296	168	2026	2361	1240	3210	109	1156	1026	3907	311	872	3508	1427	435	800	2821	364	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
seq11	2199	1264	1031	762	1057	1437	1107	443	603	1971	2507	4722	39	575	1386	433	1232	854	1775	2439	12	0	395	214	828	1369	521	1840	0	532	1051	0	381	169	1980	140	1163	271	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq9	1117	1063	136	0	267	398	108	81	298	3695	2552	1354	0	144	445	222	5111	4934	5566	1606	0	0	733	488	2531	1153	976	1904	0	0	0	0	0	0	487	0	0	103	0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq15	2048	1202	964	613	1029	1311	1033	428	602	1931	2370	4592	0	510	1266	457	1174	882	1818	2125	0	44	381	232	754	1343	479	1858	0	568	924	0	329	190	1866	0	1123	247	29	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq19	330	416	2048	384	902	199	1493	600	1764	217	758	2686	1053	522	1020	705	499	1345	228	550	79	56	27	57	236	402	208	1457	0	1691	276	1186	1002	352	3021	794	784	5094	616	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq22	940	0	38	0	380	1537	0	0	0	0	0	0	0	236	893	0	1668	6951	15304	1256	458	0	112	261	1022	756	222	2313	0	0	0	0	0	0	237	0	0	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
seq16	186	0	401	256	0	0	81	78	142	0	89	228	128	86	112	104	179	252	123	428	0	0	139	1250	2900	242	8464	316	0	4441	4158	816	771	378	310	1481	2491	299	694	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
seq14	0	0	2634	968	0	0	1381	1049	2242	471	0	1615	1739	923	33	2577	401	908	1157	1107	0	0	0	0	0	0	0	0	0	0	0	2612	2874	1320	66	2270	1322	0	1815	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq17	170	724	1113	569	710	669	2847	703	1005	392	901	318	1429	668	932	2462	163	256	343	586	1332	0	0	41	42	391	36	1050	0	984	380	1804	878	141	1805	601	808	783	1017	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
seq18	0	2241	0	4789	2351	1273	0	3384	47	184	2545	18	4603	280	179	1619	0	6	0	192	0	0	0	0	0	0	0	0	0	0	32	1122	176	121	373	288	995	213	1487	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	A2	
seq30	0	1430	0	1485	1083	730	133	1880	1070	460	1935	310	2350	266	165	926	0	0	0	84	6329	0	0	0	0	30	197	2180	0	0	297	500	44	29	57	151	0	445	1412	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	
seq12	386	171	552	331	303	472	370	264	319	341	162	1226	414	210	261	644	338	704	584	949	73	0	73	265	503	926	627	1315	0	490	3400	1843	1633	524	1604	940	945	749	898	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq24	2807	590	393	257	529	476	318	299	473	645	821	2939	99	283	919	93	1526	1410	1437	1893	20	133	217	266	878	273	874	987	0	1090	280	172	273	48	604	164	288	575	148	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
seq31	457	0	2296	856	309	851	2068	710	2141	299	396	1697	214	517	1057	348	0	213	284	397	0	0	78	0	278	196	0	257	0	725	222	721	1502	759	579	1667	1731	296	442	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae		
